Index,Headgear,Facial Hair,Hands,Mouth Accessory,Background,Hair,Body,Eyes,Tattoos,Earring,Clothing,Mouth
0,,,,,,,,,,,,
1,,,Player,,Acquamarine,Green Fro,Zombie,Blasé,,Diamond Stud & Cross,Gala Suit,Charming Smile
2,Black Beanie,,Holy,,Orange Sherbet,Balding,Light Brown,Blasé,,Diamond Stud & Cross,Trench Coat,Bubble Gum
3,,,Holy,,Baby Yellow,Janet Y.,Light Beige,Angry,,,Degen T,Regular
4,Samurai Helmet,,Player,,Chrome,,Light Brown,YOLO-ed life savings,,,Puffer Vest,Drooling
5,Black Beanie,,Player,,Vice City Pink,Michael B.,Light Brown,Accountant Rims,Tear Drop,,WcDonalds GM,Regular
6,Black Beanie,,Player,,Orange Sherbet,Balding,Light Brown,Stoned,Full Face,,Shark Suit,Regular
7,Helicopter Cap,,Player,,Vice City Pink,,Light Beige,Aviators Cyborg,,,Shark Suit,Killer Smile
8,Fast Food Cap,,Holy,,Orange Sherbet,,Zombie,Accountant Rims,,,Game Over T,Drooling
9,,,Holy,,Indigo,Luscious Brown,Light Brown,Beer Goggles,Full Face,,Gala Suit,Regular
10,Wolf,,Holy,,Celadon,,Zombie,Black Wayfarer,,,Analyst Blazer,420
11,,,Player,,Celadon,Long Red Hair,Psychedelic,YOLO-ed life savings,,,Black Tuxedo,Killer Smile
12,,,Rockstar,,Chrome,Luscious Brown,Light Brown,Blasé,,Gold Stud & Cross,Golf Polo,Regular
13,,,Holy,,Acquamarine,Luscious Brown,Light Beige,Villain Monocle,,,Trench Coat,Regular
14,,,Italian,,Acquamarine,Slicked Back,Robot,Blasé,69,,Ouch!,The pipe
15,Balaklava,,Rockstar,,Vice City Pink,,Light Brown,Regular,,,WSC Trader,The pipe
16,Samurai Helmet,,Holy,,Malibu Blue,,Dark Brown,Accountant Rims,,,Varsity Jacket,Psycho Smile
17,,,Player,,Malibu Blue,Mullet,Light Beige,Blasé,,Gold Pendant,Astronaut,Bubble Gum
18,,,Player,,Celadon,Lil Chaddy,Light Brown,VR Headset,,,Dapper Suit,Psycho Smile
19,Oil Tycoon,,Player,,Acquamarine,,Zombie,Regular,Tear Drop,,Trench Coat,The pipe
20,,,Player,,Indigo,Giga Chad,Light Beige,Angry,,,Ouch!,Killer Smile
21,Fast Food Cap,,Rockstar,,Indigo,,Robot,Oval White Glasses,,Double Helix,Gala Suit,Killer Smile
22,Oil Tycoon,,Player,,Baby Yellow,,Dark Brown,Black Wayfarer,,,Shark Suit,Shocked
23,Gold Laurel Wreath,,Player,,Acquamarine,,Zombie,Cyborg,,,VC Fleece,Killer Smile
24,,,Rockstar,,Baby Yellow,Luscious Blonde,Light Brown,Regular,,,XXL Black T,Charming Smile
25,Gamer Headset,,Rockstar,,Acquamarine,Michael B.,Psychedelic,Regular,,,Blood-stained T,Cuban Cigar
26,Doge Hat,,Player,,Indigo,,Dark Brown,Swimmies,Barbed Wire,,WSC Trader,Bubble Gum
27,Ninja Mask,,Holy,,Indigo,,Zombie,Blasé,,,Papal Regalia,
28,,Wise Grey Beard,Holy,,Baby Yellow,Long Red Hair,Zombie,Fear & Loathing,,,Kimono,Regular
29,,,Italian,,Malibu Blue,Luscious Brown,Psychedelic,Regular,,,Friday Night Blazer,Killer Smile
30,,,Rockstar,,Vice City Pink,Frazzled Bleached,Light Brown,Regular,,,Hawaiian Shirt,Shocked
31,Robin Hood Hat,,Holy,,Indigo,,Light Beige,VR Headset,Rekt,,Varsity Jacket,Regular
32,Helicopter Cap,,Player,,Chrome,,Robot,AR Glasses,,,Ouch!,Regular
33,,Wise Grey Beard,Player,,Acquamarine,Surfer,Psychedelic,Hypnotized,,,WcDonalds GM,Regular
34,,,Player,,Baby Yellow,Keith G.,Light Brown,Blasé,,,Kiss,Drooling
35,,,Holy,,Orange Sherbet,Top Knot,Robot,Possessed,,,BTFD T,Killer Smile
36,,,Holy,,Orange Sherbet,Keith G.,Zombie,Regular,,,GME T,Killer Smile
37,Born To Ape Helmet,,Player,,Malibu Blue,,Psychedelic,Stoned,,Silver Ring,This Guy F*cks Suit,Paint Mask
38,Black Beanie,,Holy,,Malibu Blue,,Dark Brown,AR Glasses,,,Analyst Blazer,The pipe
39,Golden Halo,,Player,,Orange Sherbet,,Robot,Black Wayfarer,,,Army Gear,Regular
40,Ushanka,,Holy,,Acquamarine,,Light Beige,Black Wayfarer,Rekt,Double Helix,Turtleneck,Vampire
41,Saudi Prince,,Italian,,Chrome,,Psychedelic,Blasé,,,Gala Suit,Marlboro Red
42,Unicorn,,Player,,Indigo,,Light Beige,Angry,,,Much Wow T,Killer Smile
43,,,Player,,Orange Sherbet,Punk Mohawk,Dark Brown,3D Glasses,,,Analyst Blazer,Vampire
44,Helicopter Cap,,Player,,Celadon,,Dark Brown,Cyborg,,,Bull Suit,Vampire
45,Samurai Helmet,,Holy,,Indigo,,Dark Brown,Possessed,,,Kimono,Psycho Smile
46,,,Italian,,Celadon,Keith G.,Psychedelic,Accountant Rims,,,Samurai,Cuban Cigar
