Index,Rarity,RT_Rarity,Headgear,Facial Hair,Hands,Mouth Accessory,Background,Hair,Body,Eyes,Tattoos,Earring,Clothing,Mouth
0,0.0,239,None,None,None,None,None,None,None,None,None,None,None,None
1,195.4294,963,None,None,Player,None,Acquamarine,Green Fro,Zombie,Blasé,None,Diamond Stud & Cross,Gala Suit,Charming Smile
2,209.991,723,Black Beanie,None,Holy,None,Orange Sherbet,Balding,Light Brown,Blasé,None,Diamond Stud & Cross,Trench Coat,Bubble Gum
3,212.3152,802,None,None,Holy,None,Baby Yellow,Janet Y.,Light Beige,Angry,None,None,Degen T,Regular
4,228.1247,624,Samurai Helmet,None,Player,None,Chrome,None,Light Brown,YOLO-ed life savings,None,None,Puffer Vest,Drooling
5,133.065,2624,Black Beanie,None,Player,None,Vice City Pink,Michael B.,Light Brown,Accountant Rims,Tear Drop,None,WcDonalds GM,Regular
6,198.7058,1541,Black Beanie,None,Player,None,Orange Sherbet,Balding,Light Brown,Stoned,Full Face,None,Shark Suit,Regular
7,195.1756,911,Helicopter Cap,None,Player,None,Vice City Pink,None,Light Beige,Aviators Cyborg,None,None,Shark Suit,Killer Smile
8,170.0,205,Fast Food Cap,None,Holy,None,Orange Sherbet,None,Zombie,Accountant Rims,None,None,Game Over T,Drooling
9,191.8688,1984,None,None,Holy,None,Indigo,Luscious Brown,Light Brown,Beer Goggles,Full Face,None,Gala Suit,Regular
10,163.2573,1615,Wolf,None,Holy,None,Celadon,None,Zombie,Black Wayfarer,None,None,Analyst Blazer,420
11,126.3939,2751,None,None,Player,None,Celadon,Long Red Hair,Psychedelic,YOLO-ed life savings,None,None,Black Tuxedo,Killer Smile
12,168.6765,1718,None,None,Rockstar,None,Chrome,Luscious Brown,Light Brown,Blasé,None,Gold Stud & Cross,Golf Polo,Regular
13,159.286,1952,None,None,Holy,None,Acquamarine,Luscious Brown,Light Beige,Villain Monocle,None,None,Trench Coat,Regular
14,232.4855,1049,None,None,Italian,None,Acquamarine,Slicked Back,Robot,Blasé,69,None,Ouch!,The pipe
15,172.7188,1342,Balaklava,None,Rockstar,None,Vice City Pink,None,Light Brown,Regular,None,None,WSC Trader,The pipe
16,169.6905,1606,Samurai Helmet,None,Holy,None,Malibu Blue,None,Dark Brown,Accountant Rims,None,None,Varsity Jacket,Psycho Smile
17,252.2966,445,None,None,Player,None,Malibu Blue,Mullet,Light Beige,Blasé,None,Gold Pendant,Astronaut,Bubble Gum
18,187.9977,1068,None,None,Player,None,Celadon,Lil Chaddy,Light Brown,VR Headset,None,None,Dapper Suit,Psycho Smile
19,206.7507,946,Oil Tycoon,None,Player,None,Acquamarine,None,Zombie,Regular,Tear Drop,None,Trench Coat,The pipe
20,272.9077,314,None,None,Player,None,Indigo,Giga Chad,Light Beige,Angry,None,None,Ouch!,Killer Smile
21,177.3087,1380,Fast Food Cap,None,Rockstar,None,Indigo,None,Robot,Oval White Glasses,None,Double Helix,Gala Suit,Killer Smile
22,168.7585,1555,Oil Tycoon,None,Player,None,Baby Yellow,None,Dark Brown,Black Wayfarer,None,None,Shark Suit,Shocked
23,223.4627,567,Gold Laurel Wreath,None,Player,None,Acquamarine,None,Zombie,Cyborg,None,None,VC Fleece,Killer Smile
24,152.0514,2242,None,None,Rockstar,None,Baby Yellow,Luscious Blonde,Light Brown,Regular,None,None,XXL Black T,Charming Smile
25,215.3435,673,Gamer Headset,None,Rockstar,None,Acquamarine,Michael B.,Psychedelic,Regular,None,None,Blood-stained T,Cuban Cigar
26,201.8891,1605,Doge Hat,None,Player,None,Indigo,None,Dark Brown,Swimmies,Barbed Wire,None,WSC Trader,Bubble Gum
27,138.0,46,Ninja Mask,None,Holy,None,Indigo,None,Zombie,Blasé,None,None,Papal Regalia,None
28,255.3546,804,None,Wise Grey Beard,Holy,None,Baby Yellow,Long Red Hair,Zombie,Fear & Loathing,None,None,Kimono,Regular
29,107.795,3048,None,None,Italian,None,Malibu Blue,Luscious Brown,Psychedelic,Regular,None,None,Friday Night Blazer,Killer Smile
